"Date","Price","Open","High","Low","Vol.","Change %"
"09/24/2021","362.00","357.50","362.00","351.50","729.60K","0.56%"
"09/23/2021","360.00","365.00","367.50","350.55","311.40K","-0.55%"
"09/22/2021","362.00","370.00","370.00","355.01","930.80K","0.14%"
"09/21/2021","361.50","385.99","392.50","360.05","224.60K","-5.18%"
"09/20/2021","381.26","392.50","399.63","380.50","244.20K","-2.56%"
"09/17/2021","391.27","396.00","402.49","389.51","315.40K","-2.06%"
"09/16/2021","399.50","392.50","403.50","392.50","199.20K","0.38%"
"09/15/2021","398.00","402.39","402.39","389.00","709.00K","-0.62%"
"09/14/2021","400.50","410.00","412.50","400.50","398.40K","-1.72%"
"09/13/2021","407.50","410.50","412.00","402.51","313.80K","-0.42%"
"09/10/2021","409.23","404.50","409.97","395.01","317.00K","2.81%"
"09/09/2021","398.05","389.50","417.50","383.01","769.40K","2.66%"
"09/08/2021","387.75","387.00","390.00","385.00","386.40K","0.78%"
"09/07/2021","384.76","382.50","389.92","382.00","241.60K","0.85%"
"09/06/2021","381.50","376.55","385.95","376.55","413.40K","0.56%"
"09/03/2021","379.38","375.00","381.00","364.99","794.80K","5.38%"
"09/02/2021","360.00","360.65","364.98","356.50","566.00K","0.14%"
"09/01/2021","359.50","365.00","374.99","359.00","518.40K","0.28%"
"08/31/2021","358.50","345.00","370.46","344.50","1.05M","4.22%"
"08/30/2021","344.00","343.98","347.50","337.00","120.60K","1.47%"
"08/27/2021","339.02","336.00","345.00","328.00","248.40K","1.05%"
"08/26/2021","335.50","317.50","338.63","315.01","606.80K","6.51%"
"08/25/2021","315.00","317.50","317.50","312.50","24.40K","-0.79%"
"08/24/2021","317.50","317.00","317.77","316.50","31.20K","0.55%"
"08/23/2021","315.75","308.52","321.00","308.52","137.40K","1.82%"
"08/20/2021","310.10","315.00","315.00","309.00","40.80K","0.03%"
"08/17/2021","310.00","307.50","312.50","307.50","134.40K","0.32%"
"08/16/2021","309.00","306.50","311.00","299.50","225.40K","0.00%"
"08/13/2021","309.01","317.50","317.75","308.00","154.20K","-2.37%"
"08/12/2021","316.50","332.50","332.50","316.00","51.40K","0.47%"
"08/11/2021","315.01","314.50","318.75","312.38","92.80K","1.60%"
"08/10/2021","310.05","311.01","313.00","309.00","74.20K","-1.41%"
"08/09/2021","314.50","316.50","316.52","311.50","69.00K","-0.17%"
"08/06/2021","315.05","320.00","321.99","315.00","61.40K","-1.55%"
"08/05/2021","320.01","322.15","323.38","320.00","55.00K","-0.86%"
"08/04/2021","322.80","326.00","329.49","322.50","161.00K","-0.68%"
"08/03/2021","324.99","323.51","330.00","320.51","171.40K","0.46%"
"08/02/2021","323.49","313.55","324.50","313.50","143.20K","2.68%"
"07/30/2021","315.05","318.50","325.00","315.00","350.80K","-1.39%"
"07/29/2021","319.50","316.00","319.50","314.00","78.00K","1.40%"
"07/28/2021","315.08","320.00","325.00","315.00","102.00K","-3.04%"
"07/27/2021","324.95","324.95","324.95","314.75","612.20K","3.97%"
"07/26/2021","312.55","312.00","315.49","312.00","416.00K","0.03%"
"07/23/2021","312.45","306.48","314.00","306.00","449.60K","2.44%"
"07/19/2021","305.01","327.50","327.50","303.50","1.13M","0.07%"
"07/16/2021","304.79","292.50","314.42","292.50","1.20M","4.21%"
"07/15/2021","292.48","290.51","292.70","288.00","145.20K","0.58%"
"07/14/2021","290.80","294.49","294.49","288.95","253.80K","1.23%"
"07/13/2021","287.26","282.25","291.00","282.25","121.00K","0.79%"
"07/12/2021","285.00","284.13","285.00","281.50","119.80K","-0.87%"
"07/09/2021","287.50","287.50","290.00","280.00","241.80K","0.00%"
"07/08/2021","287.50","279.99","290.00","279.99","323.60K","2.68%"
"07/07/2021","279.99","280.00","280.00","275.50","60.00K","0.54%"
"07/06/2021","278.50","280.50","281.50","278.50","101.80K","-0.54%"
"07/05/2021","280.00","279.05","283.99","279.00","95.20K","-0.36%"
"07/02/2021","281.00","282.49","284.00","280.08","89.40K","0.16%"
"07/01/2021","280.55","278.05","285.00","278.05","136.00K","0.20%"
"06/30/2021","280.00","280.50","283.99","279.02","142.80K","0.00%"
"06/29/2021","280.00","279.95","285.00","278.05","171.60K","0.54%"
